id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
,Real Sociedad,8,0.770489,0.86893,0.770489,0.86893,94,21,149,24,2,3,1,2,1.2338,0,0,1,0,-0.098441,
,Real Sociedad,9,1.32948,0.63684,1.32948,0.63684,220,33,219,20,11,5,3,1,1.9535999999999998,1,0,0,3,0.69264,
,Real Sociedad,10,0.967791,0.846315,0.967791,0.846315,142,15,232,21,4,1,1,0,1.4305999999999999,1,0,0,3,0.12147599999999992,
,Real Sociedad,11,1.71528,2.03092,1.71528,2.03092,137,23,297,27,12,7,1,2,1.1888,0,0,1,0,-0.31564000000000014,
,Real Sociedad,12,1.02564,0.163677,1.02564,0.163677,128,24,285,20,5,1,2,1,2.1941,1,0,0,3,0.8619630000000001,
,Real Sociedad,13,1.19357,0.326909,1.19357,0.326909,92,22,288,28,3,1,1,1,2.2131000000000003,0,1,0,1,0.866661,
,Real Sociedad,14,1.41126,1.69928,1.41126,1.69928,269,23,283,28,4,9,1,3,1.1494,0,0,1,0,-0.28801999999999994,
,Real Sociedad,15,1.39065,0.605108,1.39065,0.605108,127,17,334,33,8,2,4,1,2.0296,1,0,0,3,0.785542,
,Real Sociedad,16,1.87222,0.509978,1.87222,0.509978,136,32,327,25,12,1,0,0,2.4303,0,1,0,1,1.362242,
,Real Sociedad,17,2.87892,1.18314,2.13564,1.18314,285,21,333,26,9,9,2,2,2.5177,0,1,0,1,0.9524999999999999,
,Real Sociedad,18,2.29198,3.10563,2.29198,3.10563,140,14,224,20,10,13,4,3,0.9037999999999999,1,0,0,3,-0.81365,
,Real Sociedad,19,1.01062,1.29087,1.01062,0.547717,194,23,328,30,9,12,1,2,1.0516999999999999,0,0,1,0,0.46290300000000006,
,Real Sociedad,20,0.281591,2.26225,0.281591,2.26225,225,26,303,27,8,9,0,3,0.16949999999999998,0,0,1,0,-1.980659,
,Real Sociedad,21,2.6866,0.885045,2.6866,0.885045,157,32,391,21,9,2,3,0,2.5945,1,0,0,3,1.801555,
,Real Sociedad,22,0.108866,1.42,0.108866,1.42,144,26,262,36,1,8,1,2,0.2601,0,0,1,0,-1.311134,
,Real Sociedad,23,2.27376,0.643736,2.27376,0.643736,133,34,290,40,13,1,2,1,2.5717,1,0,0,3,1.6300239999999997,
,Real Sociedad,24,2.3988,0.25727,2.3988,0.25727,277,39,237,23,5,3,3,0,2.7836,1,0,0,3,2.14153,
,Real Sociedad,25,2.56307,0.86626,2.56307,0.86626,188,27,244,15,10,0,1,0,2.5536,1,0,0,3,1.6968100000000002,
,Real Sociedad,26,0.550322,2.2099,0.550322,1.46662,288,19,267,29,6,11,0,1,0.2972,0,0,1,0,-0.9162980000000001,
,Real Sociedad,27,1.30335,1.84648,0.560202,0.359928,236,15,180,18,2,3,2,1,0.8052999999999999,1,0,0,3,0.20027399999999995,
,Real Sociedad,28,0.89714,1.1455,0.89714,0.402225,146,13,420,24,5,4,1,1,1.0565,0,1,0,1,0.49491500000000005,
,Real Sociedad,29,0.318266,1.52088,0.318266,1.52088,82,18,276,37,2,4,0,2,0.36260000000000003,0,0,1,0,-1.202614,
