id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
,Aston Villa,9,2.96692,1.32184,2.96692,1.32184,271,18,200,21,7,10,2,1,2.4098,1,0,0,3,1.64508,
,Aston Villa,10,0.980145,3.19004,0.980145,3.19004,267,10,194,24,3,18,0,3,0.2449,0,0,1,0,-2.2098950000000004,
,Aston Villa,11,0.741615,2.38824,0.741615,2.38824,293,14,88,20,2,16,1,2,0.3756,0,0,1,0,-1.6466250000000002,
,Aston Villa,12,0.473225,2.09891,0.473225,2.09891,189,30,211,32,0,8,1,2,0.31610000000000005,0,0,1,0,-1.625685,
,Aston Villa,13,2.6985,0.69784,2.6985,0.69784,154,21,264,15,14,3,2,0,2.6628,1,0,0,3,2.00066,
,Aston Villa,14,1.29701,1.84804,1.29701,1.84804,276,23,153,23,3,13,2,2,0.9371999999999999,0,1,0,1,-0.5510299999999999,
,Aston Villa,15,0.86086,1.9774,0.86086,1.9774,389,28,181,26,2,14,1,2,0.6134,0,0,1,0,-1.11654,
,Aston Villa,16,1.24141,4.03286,1.24141,4.03286,234,27,116,27,12,17,1,4,0.1341,0,0,1,0,-2.79145,
,Aston Villa,17,0.97258,1.888,0.211411,1.888,217,20,192,24,1,13,0,2,0.591,0,0,1,0,-1.6765889999999999,
,Aston Villa,18,0.921054,2.63444,0.921054,2.63444,167,16,216,18,6,5,1,3,0.3435,0,0,1,0,-1.713386,
,Aston Villa,19,0.654194,1.45005,0.654194,1.45005,265,23,166,18,4,3,1,0,0.7351000000000001,1,0,0,3,-0.795856,
,Aston Villa,20,0.610997,3.25314,0.610997,2.49197,208,13,219,25,6,8,0,3,0.1056,0,0,1,0,-1.8809729999999998,
,Aston Villa,21,1.74824,2.34418,1.74824,2.34418,265,10,143,18,5,9,2,1,0.9398,1,0,0,3,-0.5959400000000001,
,Aston Villa,22,1.12565,3.75131,0.364481,3.75131,549,16,229,30,1,20,1,6,0.1611,0,0,1,0,-3.386829,
,Aston Villa,23,1.02045,1.30028,1.02045,1.30028,291,27,210,29,4,7,1,1,1.0922,0,1,0,1,-0.27983,
