id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
,Borussia Dortmund,12,1.9077,2.10743,1.9077,2.10743,222,37,446,14,14,3,3,3,1.2018,0,1,0,1,-0.19972999999999996,
,Borussia Dortmund,13,1.48269,0.751161,1.48269,0.751161,319,20,296,33,9,7,2,1,2.0166,1,0,0,3,0.7315290000000001,
,Borussia Dortmund,14,3.95015,0.102341,3.95015,0.102341,211,26,513,15,24,4,5,0,2.9831000000000003,1,0,0,3,3.847809,
,Borussia Dortmund,15,1.4717,0.233287,1.4717,0.233287,200,23,368,24,12,4,4,0,2.3956,1,0,0,3,1.238413,
,Borussia Dortmund,16,1.89658,2.90735,1.89658,2.90735,283,26,408,27,10,5,3,3,0.704,0,1,0,1,-1.0107700000000002,
,Borussia Dortmund,17,2.04502,1.33628,2.04502,1.33628,362,19,306,25,18,3,1,2,1.9246,0,0,1,0,0.7087400000000001,
,Borussia Dortmund,18,3.75099,1.80963,3.75099,1.80963,182,20,542,22,11,6,5,3,2.6014,1,0,0,3,1.9413599999999998,
,Borussia Dortmund,19,3.14965,0.860519,3.14965,0.860519,316,16,461,21,12,5,5,1,2.7226999999999997,1,0,0,3,2.289131,
,Borussia Dortmund,20,3.29375,0.560146,2.53605,0.560146,234,16,549,28,7,0,5,0,2.8894,1,0,0,3,1.9759039999999999,
,Borussia Dortmund,21,0.882241,1.10259,0.882241,1.10259,349,32,300,30,9,4,3,4,1.1332,0,0,1,0,-0.2203489999999999,
,Borussia Dortmund,22,1.77897,0.0254182,1.77897,0.0254182,273,25,508,15,5,1,4,0,2.7641,1,0,0,3,1.7535517999999999,
,Borussia Dortmund,23,1.3554,0.217074,1.3554,0.217074,238,15,503,23,7,2,2,0,2.3786,1,0,0,3,1.138326,
,Borussia Dortmund,24,1.60042,0.833271,1.60042,0.833271,278,19,517,23,10,3,1,0,1.988,1,0,0,3,0.767149,
,Borussia Dortmund,25,1.20132,2.62205,1.20132,2.62205,333,25,392,30,3,2,2,1,0.45699999999999996,1,0,0,3,-1.4207300000000003,
,Borussia Dortmund,26,1.45195,0.345513,1.45195,0.345513,244,19,447,31,3,3,4,0,2.3081,1,0,0,3,1.1064370000000001,
,Borussia Dortmund,27,1.03584,0.504702,1.03584,0.504702,232,16,465,22,5,0,2,0,1.8611,1,0,0,3,0.5311380000000001,
,Borussia Dortmund,28,0.616596,0.769692,0.616596,0.769692,332,18,364,37,8,6,0,1,1.1506,0,0,1,0,-0.153096,
,Borussia Dortmund,29,4.4959,1.13973,4.4959,0.382283,207,16,407,15,13,1,6,1,2.9059000000000004,1,0,0,3,4.113617,
,Borussia Dortmund,30,1.84639,0.108241,1.84639,0.108241,274,21,453,26,8,6,1,0,2.767,1,0,0,3,1.738149,
,Borussia Dortmund,31,0.683609,0.382339,0.683609,0.382339,287,23,509,21,5,2,1,0,1.6255,1,0,0,3,0.30127000000000004,
,Borussia Dortmund,32,1.30328,1.86738,1.30328,1.1096,187,29,466,14,6,1,0,2,0.8861999999999999,0,0,1,0,0.19368000000000007,
,Borussia Dortmund,33,3.12342,1.03505,3.12342,1.03505,281,20,433,35,10,11,2,0,2.6607,1,0,0,3,2.08837,
,Borussia Dortmund,34,0.127933,3.85732,0.127933,3.09954,285,17,363,15,7,9,0,4,0.0101,0,0,1,0,-2.971607,

136,RasenBallsport Leipzig,1,3.93387,0.782907,3.93387,0.782907,181,22,410,26,12,2,4,0,2.8867999999999996,1,0,0,3,3.150963,
,RasenBallsport Leipzig,2,1.77604,0.935237,1.77604,0.935237,305,22,251,27,2,4,2,1,2.072,1,0,0,3,0.8408030000000001,
,RasenBallsport Leipzig,3,3.13131,1.4586,3.13131,1.4586,294,36,290,35,7,4,3,1,2.4716,1,0,0,3,1.6727100000000001,
,RasenBallsport Leipzig,4,1.65427,1.6704,0.896496,1.6704,481,28,192,21,7,10,1,1,1.3633000000000002,0,1,0,1,-0.7739040000000001,
,RasenBallsport Leipzig,5,1.72557,0.583174,1.72557,0.583174,274,28,293,21,8,9,3,0,2.2828999999999997,1,0,0,3,1.1423960000000002,
,RasenBallsport Leipzig,6,1.2781,2.64689,1.2781,1.88912,159,25,317,33,13,10,1,3,0.4762,0,0,1,0,-0.6110199999999999,
,RasenBallsport Leipzig,7,2.45811,1.6617,2.45811,1.6617,507,30,211,27,3,9,1,1,1.9665,0,1,0,1,0.7964100000000001,
,RasenBallsport Leipzig,8,1.35769,1.69441,1.35769,1.69441,205,29,263,26,6,6,1,1,1.0785,0,1,0,1,-0.3367199999999999,
,RasenBallsport Leipzig,9,2.55936,1.77638,2.55936,1.77638,242,21,311,24,8,3,1,2,1.9501,0,0,1,0,0.7829799999999998,
,RasenBallsport Leipzig,10,3.95826,0.85545,3.95826,0.85545,212,26,449,19,11,4,8,0,2.8805,1,0,0,3,3.10281,
,RasenBallsport Leipzig,11,1.93927,0.46433,1.18157,0.46433,205,29,371,23,9,2,4,2,2.6338,1,0,0,3,0.71724,
,RasenBallsport Leipzig,12,2.57218,0.886616,1.81441,0.886616,177,18,421,14,22,3,4,1,2.5181,1,0,0,3,0.9277940000000001,
,RasenBallsport Leipzig,13,1.79269,1.55563,1.79269,1.55563,307,37,285,31,10,4,3,2,1.5251000000000001,1,0,0,3,0.23705999999999983,
,RasenBallsport Leipzig,14,3.5887,1.28019,2.83093,1.28019,402,38,237,24,5,8,3,1,2.6791,1,0,0,3,1.55074,
,RasenBallsport Leipzig,15,3.98532,0.263544,3.22755,0.263544,178,19,461,7,10,0,3,0,2.9701,1,0,0,3,2.964006,
,RasenBallsport Leipzig,16,2.90735,1.89658,2.90735,1.89658,408,27,283,26,5,10,3,3,2.0951,0,1,0,1,1.0107700000000002,
,RasenBallsport Leipzig,17,3.84524,0.598351,3.84524,0.598351,95,22,335,30,10,1,3,1,2.9351,1,0,0,3,3.246889,
,RasenBallsport Leipzig,18,1.34573,1.02267,1.34573,1.02267,150,17,359,26,12,5,3,1,1.6139999999999999,1,0,0,3,0.3230600000000001,
,RasenBallsport Leipzig,19,1.42745,1.30274,1.42745,1.30274,144,14,324,28,8,2,0,2,1.4368,0,0,1,0,0.1247100000000001,
,RasenBallsport Leipzig,20,1.29026,0.973355,1.29026,0.973355,196,24,355,22,13,4,2,2,1.6163000000000003,0,1,0,1,0.316905,
,RasenBallsport Leipzig,21,1.76051,1.0745,1.76051,1.0745,437,27,163,20,5,6,0,0,1.9531999999999998,0,1,0,1,0.68601,
,RasenBallsport Leipzig,22,2.22403,0.206913,2.22403,0.206913,333,25,356,27,5,1,3,0,2.8607,1,0,0,3,2.017117,
,RasenBallsport Leipzig,23,3.12937,0.289302,3.12937,0.289302,333,36,231,40,5,2,5,0,2.8877,1,0,0,3,2.840068,
,RasenBallsport Leipzig,24,0.934157,1.16579,0.934157,1.16579,470,32,236,21,10,4,1,1,1.1495000000000002,0,1,0,1,-0.2316330000000001,
,RasenBallsport Leipzig,25,1.08959,0.597206,1.08959,0.597206,201,21,339,26,8,2,0,0,1.7761999999999998,0,1,0,1,0.49238400000000004,
,RasenBallsport Leipzig,26,1.91915,0.334381,1.91915,0.334381,190,18,366,15,18,3,1,1,2.5226999999999995,0,1,0,1,1.5847689999999999,
,RasenBallsport Leipzig,27,5.2681,0.320493,5.2681,0.320493,217,31,423,20,15,3,5,0,2.9953000000000003,1,0,0,3,4.947607,
,RasenBallsport Leipzig,28,0.612996,1.57339,0.612996,0.815618,207,19,285,30,3,5,2,2,0.5384,0,1,0,1,-0.20262199999999997,
,RasenBallsport Leipzig,29,3.20866,0.803762,3.20866,0.803762,275,12,275,29,9,4,4,2,2.7018999999999997,1,0,0,3,2.404898,
,RasenBallsport Leipzig,30,1.91324,1.274,1.91324,1.274,230,26,253,21,9,2,1,1,1.8754,0,1,0,1,0.63924,
,RasenBallsport Leipzig,31,1.36763,1.75723,1.36763,1.75723,226,24,217,25,13,8,2,0,1.0978999999999999,1,0,0,3,-0.38960000000000017,
,RasenBallsport Leipzig,32,1.25224,0.594246,1.25224,0.594246,126,11,447,15,5,4,2,2,1.9461,0,1,0,1,0.657994,
,RasenBallsport Leipzig,33,1.03505,3.12342,1.03505,3.12342,433,35,281,20,11,10,0,2,0.23550000000000001,0,0,1,0,-2.08837,
,RasenBallsport Leipzig,34,1.88507,0.161187,1.88507,0.161187,175,22,349,30,6,3,2,1,2.7143,1,0,0,3,1.723883,

